tag,month,day,place,latitude,longitude,date
경기 확진자,8,19,압구정하루 서현직영점,37.3880213661551,127.12330993569401,8/19
경기 확진자,8,19,선한사마리아인교회,37.4483152043267,127.142195895058,8/19
경기 확진자,8,19,사위식당 판교점,37.39426202230159,127.11036477013562,8/19
경기 확진자,8,19,수수커피 판교알파돔타워점,37.39426202230159,127.11036477013599,8/19
경기 확진자,8,19,분당제생병원,37.388174468561715,127.121638950154,8/19
경기 확진자,8,25,성남송현초등학교,37.405443276842604,127.11643514315499,8/25
경기 확진자,8,27,분당차병원,37.410080530850074,127.12552835935945,8/27
경기 확진자,8,21,을지대학교성남캠퍼스 을지관,37.461357477988884,127.16562484801621,8/21
경기 확진자,8,19,방짜양대창삼겹살 상대원점,37.4395260086952,127.1610104546566,8/19
경기 확진자,8,20,교동짬뽕 상대원본점,37.43985948753367,127.15960546233606,8/20
경기 확진자,8,20,대덕프라자,37.4121833456816,127.12985135903702,8/20
경기 확진자,8,20,무지개네일 모란점,37.430264961472915,127.12985546868401,8/20
경기 확진자,8,21,대원카페,37.43836518471541,127.15790620840701,8/21
경기 확진자,8,21,도솔마을 민속주점,37.43463942265969,127.13701310428499,8/21
경기 확진자,8,21,투가리 남한산성점,37.462799905783605,127.168872089459,8/21
경기 확진자,8,22,야당리외식공간 분당점,37.38606716099921,127.120578631321,8/22
경기 확진자,8,23,탑레지던스 오리역점,37.339199038788706,127.109805672794,8/23
경기 확진자,8,24,정병원,37.43985356194735,127.12903810315647,8/24
경기 확진자,8,25,김밥천국 중앙점,37.441126784217,127.13382022681799,8/25
경기 확진자,8,26,분당서울대학교병원 응급실,37.35162305206519,127.12377859285499,8/26
경기 확진자,8,26,새대한 공인중개사,37.349710860785,127.11129272353499,8/26
경기 확진자,8,27,한양내과류마티스의원,37.349521640805506,127.109364736204,8/27
경기 확진자,8,27,산타마리24시의원,37.367536567107244,127.10763317477551,8/27
경기 확진자,8,27,우리정형외과의원,37.44114893470439,127.133354702498,8/27
경기 확진자,8,28,코트야드 바이메리어트 서울 판교,37.39749814534009,127.11073542583,8/28
